City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,ola,59.58,151.28,58.44,79,52,7.45,RU,1594788976
148,chiniot,31.72,72.98,107.08,23,0,7.18,PK,1594788976
149,lebyazhye,55.27,66.49,81.34,61,11,7.16,RU,1594788976
150,morogoro,-6.82,37.67,64.4,100,75,2.08,TZ,1594788976
151,kenitra,34.26,-6.58,71.6,100,40,8.05,MA,1594788917
152,voh,-20.97,164.7,72.57,78,77,6.58,NC,1594788977
153,yanam,16.73,82.22,80.6,94,90,6.93,IN,1594788977
154,turan,16.07,108.22,93.2,59,20,6.93,VN,1594788977
155,dingle,11.0,122.67,88.81,65,31,7.4,PH,1594788917
156,lebu,-37.62,-73.65,50.25,79,0,4.74,CL,1594788661
157,kahului,20.89,-156.47,84.2,54,40,24.16,US,1594788634
158,nikolskoye,59.7,30.79,60.01,82,97,4.47,RU,1594788684
159,mahibadhoo,3.78,72.97,84.38,72,100,7.72,MV,1594788978
160,fiche,9.8,38.73,55.2,85,92,0.67,ET,1594788979
161,visby,57.64,18.3,60.01,93,99,9.17,SE,1594788979
162,trojes,41.76,19.96,64.4,72,27,1.12,AL,1594788979
163,vestmannaeyjar,63.44,-20.27,52.57,90,100,6.22,IS,1594788931
164,tilichiki,60.47,166.1,51.33,90,100,7.58,RU,1594788900
165,namibe,-15.2,12.15,61.59,88,1,4.32,AO,1594788942
166,kampot,10.62,104.18,89.6,66,40,11.41,KH,1594788980
167,sylacauga,33.17,-86.25,75.2,94,75,3.78,US,1594788769
168,alofi,-19.06,-169.92,75.2,64,39,10.29,NU,1594788910
169,vostok,46.49,135.88,72.25,74,43,2.39,RU,1594788890
170,gambela,8.25,34.58,71.11,91,29,2.73,ET,1594788980
171,teguise,29.06,-13.56,71.6,83,0,25.28,ES,1594788980
172,rocha,-34.48,-54.33,36.05,80,0,6.17,UY,1594788980
173,bowen,-20.02,148.23,69.8,35,88,10.29,AU,1594788981
174,bethel,41.37,-73.41,66.99,93,1,5.12,US,1594788629
175,siquijor,9.21,123.52,83.79,73,55,8.12,PH,1594788981
176,svetlogorsk,52.63,29.73,57.22,79,99,10.67,BY,1594788941
177,lompoc,34.64,-120.46,60.8,77,3,9.17,US,1594788898
178,price,39.6,-110.81,78.8,21,1,4.7,US,1594788855
179,cruzeiro do sul,-29.51,-51.99,37.99,89,0,1.01,BR,1594788981
180,fenoarivo,-18.93,47.44,50.0,100,20,2.24,MG,1594788982
181,wellington,-41.29,174.78,48.2,81,99,20.8,NZ,1594788964
182,mayumba,-3.43,10.66,68.77,93,89,2.06,GA,1594788887
183,hami,42.8,93.45,91.13,12,0,6.51,CN,1594788982
184,severo-kurilsk,50.68,156.12,55.22,82,88,10.42,RU,1594788894
185,darnah,32.77,22.64,76.71,66,0,14.34,LY,1594788982
186,monrovia,6.3,-10.8,74.91,83,100,10.09,LR,1594788982
187,laguna de duero,41.58,-4.72,55.0,76,70,14.99,ES,1594788982
188,kiama,-34.68,150.87,59.0,88,100,8.01,AU,1594788931
189,mwinilunga,-11.74,24.43,45.63,55,0,5.23,ZM,1594788983
190,tommot,58.96,126.29,74.05,74,88,5.64,RU,1594788920
191,ca mau,9.18,105.15,88.34,65,95,6.8,VN,1594788983
192,talavera de la reina,39.96,-4.83,69.51,36,23,10.67,ES,1594788983
193,mudigere,13.13,75.63,70.41,89,100,6.73,IN,1594788983
194,lagunas,-5.23,-75.68,71.65,95,64,0.94,PE,1594788984
195,baykit,61.67,96.37,58.41,54,98,13.6,RU,1594788984
196,codrington,-38.27,141.97,55.04,69,34,4.65,AU,1594788666
197,cockburn town,21.46,-71.14,81.55,83,6,18.23,TC,1594788939
198,nioro,13.35,-15.75,76.6,89,81,6.76,GM,1594788984
199,kuznechnoye,61.12,29.87,57.99,60,50,4.32,RU,1594788984
200,onega,63.91,38.14,57.94,77,11,3.78,RU,1594788984
201,kodiak,57.79,-152.41,73.4,35,1,10.29,US,1594788664
202,hithadhoo,-0.6,73.08,83.79,70,57,3.85,MV,1594788913
203,doha,25.29,51.53,104.0,37,0,4.7,QA,1594788985
204,inhambane,-23.86,35.38,66.43,69,95,20.11,MZ,1594788925
205,saskylakh,71.92,114.08,78.4,49,45,11.54,RU,1594788907
206,itarema,-2.92,-39.92,75.78,81,0,8.5,BR,1594788885
207,hamilton,39.18,-84.53,75.2,88,1,4.23,US,1594788640
208,kushima,31.46,131.23,75.2,73,75,16.11,JP,1594788985
209,fort nelson,58.81,-122.7,68.0,64,75,3.36,CA,1594788929
210,saint-denis,48.92,2.33,62.01,93,90,3.36,FR,1594788986
211,horasan,40.05,42.17,62.04,67,7,1.68,TR,1594788986
212,grindavik,63.84,-22.43,50.0,100,90,4.7,IS,1594788986
213,norman wells,65.28,-126.83,69.8,49,75,5.82,CA,1594788921
214,sibolga,1.74,98.78,86.22,62,50,5.26,ID,1594788986
